year,State_from,State_to,estimate,MOE
2011,Iowa,New Hampshire,47,78
2011,Iowa,New Jersey,332,441
2011,Iowa,New Mexico,0,198
2011,Iowa,New York,928,783
2011,Iowa,North Carolina,654,530
2011,Iowa,North Dakota,208,178
2011,Iowa,Ohio,1146,614
2011,Iowa,Oklahoma,580,536
2011,Iowa,Oregon,659,627
2011,Iowa,Pennsylvania,1176,960
2011,Iowa,Rhode Island,82,145
2011,Iowa,South Carolina,1379,1468
2011,Iowa,South Dakota,4772,1898
2011,Iowa,Tennessee,387,432
2011,Iowa,Texas,3236,1628
2011,Iowa,Utah,290,250
2011,Iowa,Vermont,0,145
2011,Iowa,Virginia,1503,899
2011,Iowa,Washington,1000,465
2011,Iowa,West Virginia,0,184
2011,Iowa,Wisconsin,3306,1757
2011,Iowa,Wyoming,342,323
2011,Kansas,Alabama,842,632
2011,Kansas,Alaska,750,741
2011,Kansas,Arizona,1708,883
2011,Kansas,Arkansas,2008,1142
2011,Kansas,California,2810,1256
2011,Kansas,Colorado,3718,1495
2011,Kansas,Connecticut,16,36
2011,Kansas,Delaware,7,17
2011,Kansas,Florida,2661,1410
2011,Kansas,Georgia,4513,2909
2011,Kansas,Hawaii,125,154
2011,Kansas,Idaho,479,503
2011,Kansas,Illinois,2533,1130
2011,Kansas,Indiana,1321,946
2011,Kansas,Iowa,1776,819
2011,Kansas,Kentucky,253,212
2011,Kansas,Louisiana,312,466
2011,Kansas,Maine,523,641
2011,Kansas,Maryland,689,551
2011,Kansas,Massachusetts,969,867
2011,Kansas,Michigan,1148,867
2011,Kansas,Minnesota,606,324
2011,Kansas,Mississippi,66,90
2011,Kansas,Missouri,20884,4170
2011,Kansas,Montana,845,492
2011,Kansas,Nevada,602,734
2011,Kansas,New Hampshire,0,184
2011,Kansas,New Jersey,317,306
2011,Kansas,New Mexico,1333,1078
2011,Kansas,New York,838,397
2011,Kansas,North Carolina,4995,4644
2011,Kansas,North Dakota,75,96
